Input,Output_Baseline,ECR_Baseline,Output_CFMoE,ECR_CFMoE
Du Fu,"Du Fu (712 – 770), also known as Li Bai (701 – 762), was a Chinese poet of the Tang Dynasty (618 – 907). He is considered one of the greatest poets in the history of Chinese literature. His work is known for its lyricism, its vivid imagery, and its profound emotion. Du Fu was born in 712 in the city of Luoyang, in the present-day province of Henan. He was the son of a minor official, and his early life was spent in poverty. In 735, he passed the imperial examination, but was not appointed to a government post. He spent the next ten years traveling and writing poetry. In 744, he was appointed to the imperial court, but he was dismissed in 746. He spent the next few years in the company of other poets, and in 755, he was appointed to the court again. He was dismissed in 758, and he spent the rest of his life traveling and writing poetry. Du Fu's poetry is known for its lyricism, its vivid imagery,""",0.3492263908930577,"Du Fu (Chinese: 杜甫; pinyin: D� Fǔ, Wade – Giles: Tu Fu; 712 – 770), born Du Fu (杜甫), was a Tang Dynasty poet. He is considered one of China's greatest poets and is best known for his sixty-nine surviving volumes of poetry, which form the Six Dynasties (589 – 907) and Five Dynasties (907 – 960) period of Chinese history. Du Fu was born in 712, in the Tang Dynasty capital of Chang 'an (now Xi'an). His father was a high-ranking civil servant, and Du Fu was educated at the imperial court. He was a young man when the An Lushan Rebellion broke out in 755, and he was forced to flee from Chang 'an to Sichuan. He lived in Sichuan for 14 years, where he became acquainted with the local culture and people. He returned to Chang'an in 770, but died there in 770, aged 59. Du Fu's poetry is noted""",0.4295935545935548
Constant k filter,"A constant k filter is a type of electronic filter designed to pass a constant fraction of the signal, while attenuating the rest. The term constant k filter is used in the context of electronic filters, but it is also used in the context of signal processing. The term constant k filter is used in the context of electronic filters, but it is also used in the context of signal processing.  == Definition ==  A constant k filter is a type of electronic filter designed to pass a constant fraction of the signal, while attenuating the rest. The term constant k filter is used in the context of electronic filters, but it is also used in the context of signal processing.  == Design ==  A constant k filter is designed to pass a constant fraction of the signal, while attenuating the rest. The design of a constant k filter is based on the following equation:  == Applications ==  Constant k filters are used in a variety of applications, including:  == References ==""",0.4002324835658168,"In signal processing, a constant k filter is a type of electronic filter that has a constant k coefficient in its transfer function. The k coefficient is the number of poles in the frequency domain. The constant k filter is a type of Butterworth filter. The constant k filter is a type of Butterworth filter.  == Definition ==  A constant k filter is a type of electronic filter that has a constant k coefficient in its transfer function. The k coefficient is the number of poles in the frequency domain. The constant k filter is a type of Butterworth filter.  == Properties ==  The constant k filter has a constant k coefficient in its transfer function. The constant k coefficient is the number of poles in the frequency domain. The constant k filter is a type of Butterworth filter.  == Design ==  The constant k filter is a type of Butterworth filter.  == Applications ==  The constant k filter is a type of Butterworth filter.""",0.4962321628988296
Imagism,"Imagism was a literary movement that began in 1913 in London and lasted until 1917. It was founded by Ezra Pound, T. E. Hulme, and Richard Aldington. Imagism was a reaction against the decadence of the Symbolist movement and the excesses of the Imagist movement that preceded it. Imagists sought to create a new form of poetry that was both modern and accessible to the average reader. Imagists sought to create a new form of poetry that was both modern and accessible to the average reader. Imagists sought to create a new form of poetry that was both modern and accessible to the average reader. Imagists sought to create a new form of poetry that was both modern and accessible to the average reader. Imagists sought to create a new form of poetry that was both modern and accessible to the average reader. Imagists sought to create a new form of poetry that was both modern and accessible to the average reader. Imagists sought to create a new form of poetry that was both modern and accessible to the average reader. Imagists sought to create a new form of poetry that was both modern and accessible to the average reader. Imagists sought to create a new form of poetry that was""",0.2761944845278178,"Imagism was a short-lived poetic movement that began in England in 1914 and flourished until 1917. It was founded by Ezra Pound and Hilda Doolittle (known as ""H.D."") and was characterized by its emphasis on precise imagery and its rejection of traditional rhyme and meter. Imagism was a reaction to the excesses of the Romantic movement and the decadence of the Edwardian era. Imagism was a reaction to the excesses of the Romantic movement and the decadence of the Edwardian era. Imagism was a reaction to the excesses of the Romantic movement and the decadence of the Edwardian era. Imagism was a reaction to the excesses of the Romantic movement and the decadence of the Edwardian era. Imagism was a reaction to the excesses of the Romantic movement and the decadence of the Edwardian era.  == Background ==  Imagism was a reaction to the excesses of the Romantic movement and the decadence of the Edwardian era. Imagism was a reaction to the excesses of the Romantic movement and the decadence of the Edwardian era. The Imagists were influenced by the work of the French poet Arthur Rimbaud, who had written in the""",0.4569103735770403
Ironclad warship,"An ironclad warship is a warship built with iron plates, or a warship built with iron armor, to protect the hull from damage by enemy fire. The term is used to refer to ships of the line, or ships of the line, which were the largest warships of the navies of the world in the 19th century. The term is also used to refer to the ships of the Royal Navy that were built to the design of Sir Thomas Slade, who was the first to use iron as the primary material for warships. The first ironclad warship was the British HMS Warrior, which was built in 1860. The first ironclad warship to be built in the United States was the USS Monitor, which was built in 1862. The first ironclad warship to be built in France was the ironclad warship Jean Bart, which was built in 1861. The first ironclad warship to be built in Japan was the ironclad warship Mikasa, which was built in 1863. Ironclad warships were the first warships to be built with iron armor, which was used to protect the hull""",0.3236331569664903,"An ironclad warship is a warship constructed primarily from iron. The first ironclad warships were designed and built in the 1850s, and they were the first warships to be protected by iron armour. The first ironclad warships were designed and built in the 1850s, and they were the first warships to be protected by iron armour. The first ironclad warships were designed and built in the 1850s, and they were the first warships to be protected by iron armour. The first ironclad warships were designed and built in the 1850s, and they were the first warships to be protected by iron armour. The first ironclad warships were designed and built in the 1850s, and they were the first warships to be protected by iron armour.  == History ==  The first ironclad warships were designed and built in the 1850s, and they were the first warships to be protected by iron armour. The first ironclad warships were designed and built in the 1850s, and they were the first warships to be""",0.5111030944364278
Second Battle of Naktong Bulge,"The Second Battle of Naktong Bulge (Korean: 낙탄 불꽃 전투; 낙탄 불꽃 전투; lit. ""Battle of Naktong Bulge"") was a battle of the Korean War fought between United Nations and North Korean forces in the Naktong Bulge, a bulge in the South Korean front line, from 14 September to 15 September 1950. The battle was fought between the United States Army's 24th Infantry Division and the North Korean People's Army's 4th Division. The North Korean People's Army's 4th Division had been advancing south from the 38th Parallel and had reached the Naktong River. The 24th Infantry Division was sent to the Naktong River to stop the North Koreans. The 24th Infantry Division was able to delay the North Koreans until the 1st Cavalry Division arrived. The 1st Cavalry Division was able to cross the river and attack the North Koreans. The North Kore""",0.3205467372134039,"The Second Battle of the Naktong Bulge was a battle fought in the Korean War between United Nations (UN) and North Korean forces in the Naktong Bulge region of South Korea in August 1950. The battle was the second of three major engagements fought in the Naktong Bulge region during the war. The first was the Battle of Pusan Perimeter, and the third was the Battle of Chosin Reservoir. The battle began on August 11, 1950, when the North Koreans launched a series of attacks against the UN forces defending the Naktong Bulge. The attacks were initially successful, and the North Koreans advanced as far as the UN lines. However, the UN forces were able to repel the attacks and the North Korean forces were forced back to their starting positions.  == Background ==   === Outbreak of war ===  Following the invasion of the Republic of Korea (South Korea) by its northern neighbor, the Democratic People's Republic of Korea (North Korea), the United Nations decided to commit troops to the conflict on behalf of South Korea. The United States, a member of the UN""",0.3945807279140614
Nero,"Nero Claudius Caesar Augustus Germanicus (/ ˈnɛrə /; 15 December 37 – 9 June 68), commonly known as Nero, was Roman Emperor from 54 to 68. He was the last of the five good emperors, who ruled from 96 to 180. Nero was the first Roman Emperor to commit suicide. Nero was born in 37 AD in Antium, the son of Gnaeus Domitius Ahenobarbus and Agrippina the Younger. His father was a senator and a member of the Julii family, and his mother was the granddaughter of the emperor Augustus. Nero was adopted by his great-uncle, Emperor Claudius, in 40. Nero was raised in the household of his great-uncle, who had no children of his own. Nero was raised in the household of his great-uncle, who had no children of his own. Nero was raised in the household of his great-uncle, who had no children of his own. Nero was raised in the household of his great-uncle, who had no children of his own. Nero was raised in the household of his great-""",0.3534551867885203,"Nero Claudius Caesar Germanicus (Latin: [ˈnɛːroʊ ˈklaudɪ.ʊs kæsˈaːr.ər ˈɡermanɪk.əs]; 15 December 52 AD – 9 June 68 AD), commonly known as Nero (/ ˈnɛroʊ /; Greek: Νέρων, Nérōn), was the last of the Julio-Claudian emperors, ruling from 54 AD to 68 AD. He was the son of Agrippa Postumus and Domitia Lepida, and was adopted by his great-uncle, Emperor Claudius, in 49 AD. Nero was born in Antium, and was brought up in Rome. He was a favourite of Claudius, who made him his heir in 50 AD. Nero was adopted by Claudius in 54 AD, and was appointed to the consulship in 55 AD. Claudius died on 13 October 54 AD, and Nero became emperor. He was acclaimed by the Praetorian Guard and the Senate, and was acclaimed emperor by the people""",0.4598565015231682
View of the World from 9th Avenue,"View of the World from 9th Avenue is a 1992 painting by American artist David Hockney. It is a large-scale, oil-on-canvas painting that depicts a view of the artist's studio in Los Angeles, California, from the street. The painting is notable for its use of a color palette that is unusual for Hockney, and for its use of a technique called ""interferometry"", which involves the use of a computer to create a stereoscopic image of the scene. Hockney created the painting in 1991, after moving to Los Angeles from London. The painting was first exhibited in 1992 at the Museum of Contemporary Art, Los Angeles, and was subsequently exhibited at the Royal Academy of Arts in London in 1993. The painting was purchased by the Getty Museum in 1994, and was on display at the Getty Museum from 1994 to 2006. In 2006, the painting was transferred to the Los Angeles County Museum of Art, where it is on display.  == Background ==  David Hockney was""",0.3114678531345198,"View of the World from 9th Avenue is a 1943 painting by American artist Georgia O 'Keeffe. The work is a large-scale oil on canvas painting measuring 78.1 by 108.1 cm (30.7 by 42.5 in). It depicts a view of the city of New York from the 9th Avenue vantage point of O'Keeffes apartment. The painting was completed in 1943, during a period of time when O 'Keeffes work was focused on the cityscape of New York. The painting was exhibited in 1946 at the Museum of Modern Art in New York, and has been in the permanent collection of the museum since 1947.  == Background ==  In 1943, O 'Keeffes husband Alfred Stieglitz, the influential photographer and gallery owner, was diagnosed with stomach cancer. O 'Keeffes work during this period was focused on the cityscape of New York, and she produced a number of paintings of the city, including the large-scale oil on canvas painting""",0.4399551066217733
Christopher Gore,"Christopher Gore (1752 – 1827) was a British politician and lawyer. He was a member of the House of Commons from 1790 to 1827, and served as Chancellor of the Exchequer from 1806 to 1807. He was the son of a wealthy banker, and was educated at Eton and Trinity College, Cambridge. He was called to the bar in 1776, and became a successful barrister. He was elected to Parliament in 1790, and was appointed Chancellor of the Exchequer in 1806. He was a strong supporter of the government of William Pitt the Younger, and was a member of the Pittite faction. He was a member of the House of Commons until 1827, and was a successful lawyer. He was a leading member of the Society of Gentlemen Practisers, and was a member of the Society of Gentlemen Practisers from 1790 to 1827. He was a member of the Society of Gentlemen Practisers from 1790 to 1827.  == Early life ==""",0.3384038800705468,"Christopher Gore (1742 – 1818) was an American politician and lawyer. He served as a member of the Massachusetts House of Representatives, and was a member of the Massachusetts Governor's Council. He was the son of Massachusetts Governor Thomas Pownall and the brother of Massachusetts Governor Thomas Pownall. Gore was born in Boston, Massachusetts. He attended Harvard College, and was admitted to the bar in 1764. He served as a member of the Massachusetts House of Representatives from 1766 to 1770, and was a member of the Massachusetts Governor's Council from 1770 to 1774. He was a member of the Massachusetts Governor's Council from 1774 to 1776, and served as the President of the Governor's Council from 1776 to 1777.  == Early life and education ==  Christopher Gore was born in Boston, Massachusetts in 1742. He was the son of Thomas Pownall and his wife Mary Gore. His father was Thomas Pownall, a British colonial administrator and politician. His father was""",0.4745670995670995
Dvorak technique,"The Dvorak technique is a method of teaching and learning to play the piano. It was developed by American music educator and pianist Josef Dvorak (1891 – 1975) in the 1930s. The technique is based on the idea that the piano is a musical instrument, and that the piano's keyboard is a map of the musical alphabet. Dvorak's technique is based on the idea that the piano is a musical instrument, and that the piano's keyboard is a map of the musical alphabet. Dvorak's technique is based on the idea that the piano is a musical instrument, and that the piano's keyboard is a map of the musical alphabet. Dvorak's technique is based on the idea that the piano is a musical instrument, and that the piano's keyboard is a map of the musical alphabet. Dvorak's technique is based on the idea that the piano is a musical instrument, and that the piano's keyboard is a map of the musical alphabet.  == History ==  Dvorak's technique was developed in the 1930s by American music educator and""",0.296677088343755,"The Dvorak technique (also known as the Dvorak orthography or the Dvorak keyboard) is a system of shorthand that was developed by August Dvorak in 1936. It is based on the QWERTY keyboard layout, and is designed to be easier to learn than other systems of shorthand. It is used by some stenographers, and is also used by the United States military. The Dvorak system is based on the QWERTY keyboard layout, but the letters are arranged in a different order. The Dvorak layout is designed to be more efficient than the QWERTY layout, and to be easier to learn. It is also designed to be more efficient for touch typists.  == History ==  The Dvorak system was developed by August Dvorak in 1936. He was a professor of education at New York University, and was interested in the problem of teaching children to read and write. He was concerned that the traditional method of teaching reading and writing was not effective, and he was interested in finding a better way. He was also interested in the problem of illiteracy in the United States. Dvorak was interested""",0.4089907006573675
Ise-class battleship,"The Ise class was a class of battleships built for the Imperial Japanese Navy (IJN) in the 1920s. The class comprised two ships: Ise and Hyuga. They were the first Japanese battleships to be designed from the keel up as battleships, rather than being converted from cruisers, and were the first Japanese battleships to be designed to be used in the battle line. The ships were built to a modified version of the British battleship HMS Dreadnought design, and were the first Japanese battleships to be armed with a main battery of ten 40.6 cm (16 in) guns. The ships were built in the 1920s, and were the first Japanese battleships to be built with the new 40.6 cm (16 in) gun. They were also the first Japanese battleships to be built with a main battery of ten 40.6 cm (16 in) guns. The ships were armed with a main battery of ten 40.6 cm (16 in) guns, and were capable of a top speed of 20 knots (37 km / h;""",0.3446168029501363,"The Ise class was a group of four battleships built for the Imperial Japanese Navy (IJN) in the 1910s. The ships were the first battleships built by Japan. The class comprised four ships: Ise, Hyūga, Kongō, and Haruna. The ships were designed by British naval architect Edward Reed and built by the British firm of Vickers-Armstrongs. The ships were armed with a main battery of four 12-inch (305 mm) guns and had a top speed of 23 knots (43 km / h; 26 mph). The Ise class was the first Japanese battleship to enter service. The ships were commissioned into the IJN between 1915 and 1918. They were the first Japanese battleships to be assigned to the IJN's 1st Battleship Division, which was the IJN's flagship division. The ships saw extensive service during World War I, including the Battle of Jutland. They were modernized in the 1930s and were present at the beginning of the Pacific War in 194""",0.4310966810966811
